,img_file,raw_text,clean_text
236,IMG_1476_DEFE_24_877,"UK EYES A

b.

Grouping.

Annex D.

c.

All Bdes.

In addition to the tasks and priorities in

Reference A:
(1)

Phase 1.

(Before Violence Erupts)

(a)
Continue a selective arrest policy against
Protestant terrorists against whom evidence exists
sufficient for criminal proceedings or the signing
of ICOs.
(b)
Prepare, when ordered, to arrest simultaneously
all those active Protestant terrorists who are known
to be involved in bombing.
(c)
Continue selective searches for Protestant
extremist arms, ammunition, explosive and equipment.
(d)
Assist the RUC as requested with close protection
of political leaders and other prominent citizens.
(e)
In conjunction with the RUC identify areas where
small unprotected RC communities live; maintain and,
in response to intelligence, increase the confidence
and protective patrolling of isolated RC communities.
(f)
Be prepared to implement Op LINGO (Reference B)
and to form similar stop lines to control movement
out of Protestant areas.

(2)

Phase 2.

(Immediate Action on Violence Erupting).

(a)
Continue the policy of selective arrests and
searches on goad intelligence.
(b)
Increase the presence at, and control movement
across all sectarian interfaces.
(c)

Implement Op LINGO for 72 hours.

Increase the deployment of VCPs along planned
(d)
stop lines to control movement out of Protestant
areas. This could result in attempts by Protestant
terrorists to direct their efforts against soft RC
bdes are to be prepared
targets outside Belfast;
to counter this.
Implement a selective call-out of the UDR
(e)
without use of the media.
Ambush likely targets of Protestant terrorist
(f)
action, in order to inflict attrition.

",uk eyes a  b  grouping  annex d  c  all bdes  in addition to the tasks and priorities in  reference a 1  phase 1  before violence erupts  a continue a selective arrest policy against protestant terrorists against whom evidence exists sufficient for criminal proceedings or the signing of icos b prepare when ordered to arrest simultaneously all those active protestant terrorists who are known to be involved in bombing c continue selective searches for protestant extremist arms ammunition explosive and equipment d assist the ruc as requested with close protection of political leaders and other prominent citizens e in conjunction with the ruc identify areas where small unprotected rc communities live maintain and in response to intelligence increase the confidence and protective patrolling of isolated rc communities f be prepared to implement op lingo reference b and to form similar stop lines to control movement out of protestant areas  2  phase 2  immediate action on violence erupting  a continue the policy of selective arrests and searches on goad intelligence b increase the presence at and control movement across all sectarian interfaces c  implement op lingo for 72 hours  increase the deployment of vcps along planned d stop lines to control movement out of protestant areas this could result in attempts by protestant terrorists to direct their efforts against soft rc bdes are to be prepared targets outside belfast to counter this implement a selective callout of the udr e without use of the media ambush likely targets of protestant terrorist f action in order to inflict attrition  
265,IMG_1505_DEFE_24_877,"a.

Deter extremists and their

supporters

from acampaign of

violence by
(1)

Selective arrests of those against whom criminal

charges could be brought or 100 signed, at the most
opportune moment.
(2)

Selective searches for arms and ammunition based on

good intelligence.
(3)
b.

Very close protection of political leaders.

Maintain the pressure on the PIRA, in order to reduce

still further the credibility of Protestant fears.
c.

Bolster the confidence of the RC population that HMG and

the SF can and would provide its only effective protection;

to

this end, the SF presence in RC areas and cover of sensitive RC
targets should be maintained.

d.

Limit the movement of terrorists, arms and explosives, as

soon as clear intelligence of impending violence is available,
by imposing Op LINGO on the RiverBann.
COUNTER MEASURES

9.

Once Protestant extremists begin a campaign of violence, the

options for SF counter action are wider.

At that moment, the

professions of Loyalist leaders that they would seek the downfall of
the Executive and Assembly by legitimate democratic processes would be
open to IP attack;

by the same token, SF operations Would be
justifiable as impartial and designed to preserve law and order.

important constraint would remain, however;

it would

still be

One

",a  deter extremists and their  supporters  from acampaign of  violence by 1  selective arrests of those against whom criminal  charges could be brought or 100 signed at the most opportune moment 2  selective searches for arms and ammunition based on  good intelligence 3 b  very close protection of political leaders  maintain the pressure on the pira in order to reduce  still further the credibility of protestant fears c  bolster the confidence of the rc population that hmg and  the sf can and would provide its only effective protection  to  this end the sf presence in rc areas and cover of sensitive rc targets should be maintained  d  limit the movement of terrorists arms and explosives as  soon as clear intelligence of impending violence is available by imposing op lingo on the riverbann counter measures  9  once protestant extremists begin a campaign of violence the  options for sf counter action are wider  at that moment the  professions of loyalist leaders that they would seek the downfall of the executive and assembly by legitimate democratic processes would be open to ip attack  by the same token sf operations would be justifiable as impartial and designed to preserve law and order  important constraint would remain however  it would  still be  one  
266,IMG_1506_DEFE_24_877,"Osoential not to provoke rpeater,

ore #

d4inad or

,

violence while attempting to stop soh Vg1enee ## J3

It is considered, therefore that $

10.

a.

Prevent

pp1

Ws

cts of violones t7yprotestant t

y

, r4.gmr.

$*d,

stmwU ##s 4

ot

(1)

Increasing the cover on genuitivegoA

(2)

Cloing the Peace Zine and controlid

s

by,
t
y

interfaces.
(3)

/

leading from Protetant

ae

and Mintainil

while violence continued at a high leye.,

(4)

-

Increasing the ritx'Ar (""fYVC~q

Ambushing likely targets for pro't

-attack.
(5)

Carrying out selective arrests

d

archeongood

intelligence,
b.

laintain pressure on the 32A.

c.

Initiate a vigorous IP capai gn to discredit
the loyalist
cause and its violent supporters, and to""'0t
e
eratet
reject them,
11.

Depending upon the number of Frotestat detainees
on parole at
the time, consideration should be given to calling
thm back, Whether
, itisclearthat
or not this was agreed to and implemented,

the total prison population would be unlkely to be sigificantly
less,
and probably ould be appreciably ore tha today;
precise

figures

would depend on the timing of the putbrea of

releared by 51I, the numbers of PRA detai

'olece, the

nbers
orImprionedbeforetre

a

",osoential not to provoke rpeater  ore    d4inad or    violence while attempting to stop soh vg1enee    j3  it is considered therefore that   10  a  prevent  pp1  ws  cts of violones t7yprotestant t  y   r4gmr  d  stmwu   s 4  ot  1  increasing the cover on genuitivegoa  2  cloing the peace zine and controlid  s  by t y  interfaces 3    leading from protetant  ae  and mintainil  while violence continued at a high leye  4    increasing the ritxar fyvcq  ambushing likely targets for prot  attack 5  carrying out selective arrests  d  archeongood  intelligence b  laintain pressure on the 32a  c  initiate a vigorous ip capai gn to discredit the loyalist cause and its violent supporters and to0t e eratet reject them 11  depending upon the number of frotestat detainees on parole at the time consideration should be given to calling thm back whether  itisclearthat or not this was agreed to and implemented  the total prison population would be unlkely to be sigificantly less and probably ould be appreciably ore tha today precise  figures  would depend on the timing of the putbrea of  releared by 51i the numbers of pra detai  olece the  nbers orimprionedbeforetre  a  
267,IMG_1507_DEFE_24_877,""" WTotegat Violas#e gruted WA the ""Utir of 1rtssted Fo.~tni
ºuocesfttl lyemw01 Eetsino, It wt obe pr6eat, the, ofore, i
View

of the serious Prism

taffing Prblex

which

egotso4y t

inthelighta thepeciaciircustaceo

-exaine,

of i1neant

'rotestant terrorig, the possibility of%
Trnferring prisners to a prisO

a.

II

Rinforeing, still further, the Northern Ireladpri son

b,

staff from GB,

12.

The force level in Northern Irelnd will reduce on current plan

by 1 December to 16 major unite.

There are three otbermajor factors

hic must be tojeninto accont in consideration of force levels, as

follows:
Province Reserve.

a.

1 DER was due to take block leave from

20 December to C January. It has now been decided to alter this to
the period 9-30 December so that the bn comrplete is availablat1 January.

It does mean, however that, the force level

ill in

fact be down to 15 major units for the last 21 days ofPecembar.

b.

Reinforcement.

A reinforcement of Northern Ireland must

always be carefully considered in order to deter.mine the
relative importance of having sufficient troops available in tit
to deal with expected trouble on the one hard and of not
'

exaerbating a difficult situation by the very act of
reinforcement on the other.

The former depends greatly upont

intelligence assessment of the threat, while the latter depend
upon the prevailing political climate.

a

", wtotegat violas e gruted wa the utir of 1rtssted fotni uocesfttl lyemw01 eetsino it wt obe pr6eat the ofore i view  of the serious prism  taffing prblex  which  egotso4y t  inthelighta thepeciaciircustaceo  exaine  of i1neant  rotestant terrorig the possibility of trnferring prisners to a priso  a  ii  rinforeing still further the northern ireladpri son  b  staff from gb  12  the force level in northern irelnd will reduce on current plan  by 1 december to 16 major unite  there are three otbermajor factors  hic must be tojeninto accont in consideration of force levels as  follows province reserve  a  1 der was due to take block leave from  20 december to c january it has now been decided to alter this to the period 930 december so that the bn comrplete is availablat1 january  it does mean however that the force level  ill in  fact be down to 15 major units for the last 21 days ofpecembar  b  reinforcement  a reinforcement of northern ireland must  always be carefully considered in order to determine the relative importance of having sufficient troops available in tit to deal with expected trouble on the one hard and of not   exaerbating a difficult situation by the very act of reinforcement on the other  the former depends greatly upont  intelligence assessment of the threat while the latter depend upon the prevailing political climate  a  
272,IMG_1512_DEFE_24_877,"release of some detainees before Christmas.

It would remain the

firm policy of SF to make arrests only on good evidence likely to lead
to prosecution or the signing of ICOs.
23.

Should the violence be sustained, the

would be a need for a

further reinforcement of up to four bns.
RECOMMENDATIONS

24.

It is recommended that:
a.

The conclusions of this paper should be agreed, and

b.

Contingency plans should now be prepared for the possible

reinforcement of Northern Ireland by up to six bns.

HQ Northern Ireland

27 November 1973

Annexes:
A.

UVF Statements

B.

The Threat

C.

Outline Reinforcement Plan

",release of some detainees before christmas  it would remain the  firm policy of sf to make arrests only on good evidence likely to lead to prosecution or the signing of icos 23  should the violence be sustained the  would be a need for a  further reinforcement of up to four bns recommendations  24  it is recommended that a  the conclusions of this paper should be agreed and  b  contingency plans should now be prepared for the possible  reinforcement of northern ireland by up to six bns  hq northern ireland  27 november 1973  annexes a  uvf statements  b  the threat  c  outline reinforcement plan  
386,IMG_1626_DEFE_24_877,"(2)

The world in general is experiencing a period of
increasing terrorism when subversives throughout
the
Western and uncommitted countries
prepared to exploit
traditional antagonisms. At the least, therefore training
and propaganda support is likely to be available to the IRA
from outside sources, to help them restart and then maintain violence as a
political weapon whenever the situation is favourable.
(3) It is clear that tension, occasionally erupting as
incidents, is likely to continue for the foreseeable future.
b.

RC Community.

No matter how marked or general may be the RC

community's rejection of IRA violence, there is likely to remain an
element within that community which is implacably and historically
opposed to the British connection and accustomed to violence as a means
of demonstrating its conviction.

This element could numerically be

strengthened if former detainees wore released under the Emergency
Provisions Bill review procedure.

There is little prospect of change

in the IRA's long term aim to reunify Ireland by any means including

force, except when a ceasefire appears at the time to be more expedient.
Should the Republicans' voice in the new Assembly prove to be muted or

non-existent, there is a distinct danger that the IRA may consider starting
up a new phase of increased violence as its only recourse.

c.

Protestant Community.

Protestant opinion is divided on the proposals

of the White Paper as they now stand, but much will depend on the way the
political situation develops in the month

ahead.

A substantial proportion

of the community seems to be in favour of giving the White raper a chance
to work.

Of the proportion which opposes it, there is an element which is

prepared to use violence, whose members have equipped themselves with
weapons and have demonstrated a capability in the recent past for terrorism
and for inciting violence as a means of exerting pressure.

It is this

element which can be expected, in response to IRA terrorism or any fears
of a ""sell out"" to present a threat to law and order in the foreseeable
future.
d.

Scenario.

Although a return to some sort of normality is assumed, it

is clear that there will continue to be a threat to law and order for some
years to come.
of intensity.

The level of lawlessness is likely to show periodic peaks
It is possible that a period of similar intensity to the

",2  the world in general is experiencing a period of increasing terrorism when subversives throughout the western and uncommitted countries prepared to exploit traditional antagonisms at the least therefore training and propaganda support is likely to be available to the ira from outside sources to help them restart and then maintain violence as a political weapon whenever the situation is favourable 3 it is clear that tension occasionally erupting as incidents is likely to continue for the foreseeable future b  rc community  no matter how marked or general may be the rc  communitys rejection of ira violence there is likely to remain an element within that community which is implacably and historically opposed to the british connection and accustomed to violence as a means of demonstrating its conviction  this element could numerically be  strengthened if former detainees wore released under the emergency provisions bill review procedure  there is little prospect of change  in the iras long term aim to reunify ireland by any means including  force except when a ceasefire appears at the time to be more expedient should the republicans voice in the new assembly prove to be muted or  nonexistent there is a distinct danger that the ira may consider starting up a new phase of increased violence as its only recourse  c  protestant community  protestant opinion is divided on the proposals  of the white paper as they now stand but much will depend on the way the political situation develops in the month  ahead  a substantial proportion  of the community seems to be in favour of giving the white raper a chance to work  of the proportion which opposes it there is an element which is  prepared to use violence whose members have equipped themselves with weapons and have demonstrated a capability in the recent past for terrorism and for inciting violence as a means of exerting pressure  it is this  element which can be expected in response to ira terrorism or any fears of a sell out to present a threat to law and order in the foreseeable future d  scenario  although a return to some sort of normality is assumed it  is clear that there will continue to be a threat to law and order for some years to come of intensity  the level of lawlessness is likely to show periodic peaks it is possible that a period of similar intensity to the  
483,IMG_1723_DEFE_24_877,"ANNEX G TO 1021 G
OP INSTR 5/73
DATED

LEGAL POSITION OF SOLDIERS AT POLLING
ACTION AGAINST PICKETING AND INTIMIDATIONSTATIONS, AT POLICY AND
Action in polling Stations
1.

The law for theNIAE provides that soldiers may:
a.

Enter a polling station.

b.
Remove from a polling station, by order of the presiding
officer, a person who misconducts himself in the polling station
or fails to obey the lawful orders of the presiding officer.
2.
Soldiers are to enter a polling station only if the police are
unable to carry out, or unable to carry out unaided, their duties at the
polling station.

3.

The maintenance of order in a polling station is primarily the
responsibility of the presiding officer, supported by the RUC.

4.
Where soldiers enter a polling station in support of the RUC,
they may:
a.

Arrest a person committing a breach of the peace or another

serious offence to which soldiers' normal powers of arresting
persons red-handed apply. Where possible however such arrests

should be made by the RUC.
Remove from the polling station a person other than an
b.
offender under 4a above, who misconducts himself or who fails
to obey the lawful order of the presiding officer, but only if
the presiding officer orders it.
5.

On no account are soldiers to take photographs in polling stations.

6.
If, in exceptional circumstances, soldiers make arrests as in
paragraph 4a. the arrested person is to be handed over to the police as
soon as possible via an RMP arrest team.

Arrest Policy
7.
Reference D applies, except that planned arrest operations are to be
conducted only as specific and local responses in the event of terrorist
outrages. Otherwise persons falling into the categories specified in
paragraph 7 of reference D are to be arrested only if they are seen at

large.

If such persons are seen in the vicinity of polling stations they

are, if circumstances permit, to be arrested after leaving the polling
station rather than before casting their vote.

Picketing and Intimidation at Polling Stations.

8.
The instructions issued at the time of the Border Poll and LGE apply
once again. For ease of reference these instructions are repeated at

Appendix 1 to this Annex.

Appendix 1 - Picketing at Polling Stations

",annex g to 1021 g op instr 573 dated  legal position of soldiers at polling action against picketing and intimidationstations at policy and action in polling stations 1  the law for theniae provides that soldiers may a  enter a polling station  b remove from a polling station by order of the presiding officer a person who misconducts himself in the polling station or fails to obey the lawful orders of the presiding officer 2 soldiers are to enter a polling station only if the police are unable to carry out or unable to carry out unaided their duties at the polling station  3  the maintenance of order in a polling station is primarily the responsibility of the presiding officer supported by the ruc  4 where soldiers enter a polling station in support of the ruc they may a  arrest a person committing a breach of the peace or another  serious offence to which soldiers normal powers of arresting persons redhanded apply where possible however such arrests  should be made by the ruc remove from the polling station a person other than an b offender under 4a above who misconducts himself or who fails to obey the lawful order of the presiding officer but only if the presiding officer orders it 5  on no account are soldiers to take photographs in polling stations  6 if in exceptional circumstances soldiers make arrests as in paragraph 4a the arrested person is to be handed over to the police as soon as possible via an rmp arrest team  arrest policy 7 reference d applies except that planned arrest operations are to be conducted only as specific and local responses in the event of terrorist outrages otherwise persons falling into the categories specified in paragraph 7 of reference d are to be arrested only if they are seen at  large  if such persons are seen in the vicinity of polling stations they  are if circumstances permit to be arrested after leaving the polling station rather than before casting their vote  picketing and intimidation at polling stations  8 the instructions issued at the time of the border poll and lge apply once again for ease of reference these instructions are repeated at  appendix 1 to this annex  appendix 1  picketing at polling stations  
484,IMG_1724_DEFE_24_877,"ANNEX
G
TO
1021
G
OP INSTR 3/73
APPENDIX 1
TO

DATED 15 JUNE 1973
PICKETING AT POLLING STATIONS

1.
Picketing, although not forecast to be widespread, could be a
serious problem which might cause a presiding officer to close his
polling station. It could take the following forms:
a.

Obstruction of persons entering station.

b.

Verbal persuasion against votersby a line of

pickets.
Pickets noting details of voters with a view to
c.
probably retributive action later.
2.
The proper response to picketing is firstly a matter for the RUC
who should try to dissuade the pickets, move them on or, if necessary,
arrest them.
If the RUC find themselves unable to take sufficient action and
3.
seek Army assistance, troops should take the following action:
a.

Warn the pickets to disperse.

b.

If they refuse to disperse, move them on physically.

c.
Arrest those causing a breach of the peace, using the
common law power of arresting persons committing a breach
of the peace. Millboards should be confiscated and handed to
the RMP arrest team together with those arrested.
Where a breach of the peace is not committed, but the
d.
conduct of the pickets is intimidatory, they should be arrested
only if there is no other way to get them to desist. In these
circumstances the power of arrest to be used is SPA Regulation 11,
in accordance with the Blue Card. The words to be used are:
""I suspect you of being about to commit (or of committing) acts
prejudicial to the peace"".
e.

Soldiers are not to photograph pickets or voters.

f.
Comds are to be given discretion not to take action against
pickets if this is likely to provoke reaction out of proportion
to the offence.

",annex g to 1021 g op instr 373 appendix 1 to  dated 15 june 1973 picketing at polling stations  1 picketing although not forecast to be widespread could be a serious problem which might cause a presiding officer to close his polling station it could take the following forms a  obstruction of persons entering station  b  verbal persuasion against votersby a line of  pickets pickets noting details of voters with a view to c probably retributive action later 2 the proper response to picketing is firstly a matter for the ruc who should try to dissuade the pickets move them on or if necessary arrest them if the ruc find themselves unable to take sufficient action and 3 seek army assistance troops should take the following action a  warn the pickets to disperse  b  if they refuse to disperse move them on physically  c arrest those causing a breach of the peace using the common law power of arresting persons committing a breach of the peace millboards should be confiscated and handed to the rmp arrest team together with those arrested where a breach of the peace is not committed but the d conduct of the pickets is intimidatory they should be arrested only if there is no other way to get them to desist in these circumstances the power of arrest to be used is spa regulation 11 in accordance with the blue card the words to be used are i suspect you of being about to commit or of committing acts prejudicial to the peace e  soldiers are not to photograph pickets or voters  f comds are to be given discretion not to take action against pickets if this is likely to provoke reaction out of proportion to the offence  
512,IMG_1752_DEFE_24_877,"P.M
NMX G

?3~

To

p2~i

1o?1 G

~jii ,Y~

1

rPm-e~MI
t
rr,4j

bM'~i

The 'arulaticrn for the LOE rrovide that soldiers em duty may enter
1,
They confer no other special rowerse n noldiers.
?oiliar Stetije,

-4

46

N>MI
f~.-t
, ediera are to enter a rolling station only if the police are imnble to {Ej
carryout or unbletocarryoutunaided, thir duties At the polling stntion.
,

U

The mAintenne of order ino poVnetitn n,, the rermnnihility of the
preatidinfr officer, mpipo r tad by the IC.

4,

Where soldiern enter a polling ettJOn in mriemrt co

Arrest a person committing a brach of thePeace or another serious
a.
offence to which soldier' riormral rowere of arrestime persons red-handed
Where possible however uch arreste should be made by the RUC.
apy.

E

I~u

the 1UC, they mary:

Remove from the rolling station a person, other than an offender
under 4,.above, who is misconductin7 himself, but nlyif the Deputy
In eractice this
Returning Officer authorises this in writing.

t

b.

I

circumntance in most unlikoly to arise.
rrests as in r,.arrrh

If, in exeptional circunetance, coldiers make
n

posibe va

n

nea

ina

1 rMl i c:,;`

*

I

.""
in to be hnndod over to the nolice as soon as
¶d
.e, the nrrt eieron

4
'3,

i.w1nl , orceplt tha olonnr1d orrect oprzations a.re to he
Refernr:cr 1
conduted only an specific and local responses in tho event of terrorist
Otherwise rrsons fro.llin into the cnterories specified in paragraph
outrApee.
7 of reference E ore to bo nrrested only if they are seem at large. If such
personm nye seen in the vicinity of polline stations they are, if ircumstanc's
permit, to be arr ; rlfer 3onvir/ the rollinr sttion rather thrn befcre
caatinp their vot.

6.

and Inii

gioketin

cot

o.14nglailior

7, Tho irntruc:tion inriueod at the time of the order -11
thm: ,inr;Iructionr nrereec""td r t
F'or Cn;'of 'cfironon
Anolrr:r.

A!ci

1

-

Pirkotin

ait l.'oplnr nr"";;tntions

r
U- 1

CQ

CQNBq,14

r:Lr

rL~

aply once a-ain.
i 1tothis

A .rpendj

4'

",pm nmx g  3  to  p2i  1o1 g  jii y  1  rpmemi t rr4j  bmi  the arulaticrn for the loe rrovide that soldiers em duty may enter 1 they confer no other special rowerse n noldiers oiliar stetije  4  46  nmi ft  ediera are to enter a rolling station only if the police are imnble to ej carryout or unbletocarryoutunaided thir duties at the polling stntion   u  the maintenne of order ino povnetitn n the rermnnihility of the preatidinfr officer mpipo r tad by the ic  4  where soldiern enter a polling ettjon in mriemrt co  arrest a person committing a brach of thepeace or another serious a offence to which soldier riormral rowere of arrestime persons redhanded where possible however uch arreste should be made by the ruc apy  e  iu  the 1uc they mary  remove from the rolling station a person other than an offender under 4above who is misconductin7 himself but nlyif the deputy in eractice this returning officer authorises this in writing  t  b  i  circumntance in most unlikoly to arise rrests as in rarrrh  if in exeptional circunetance coldiers make n  posibe va  n  nea  ina  1 rml i c    i   in to be hnndod over to the nolice as soon as d e the nrrt eieron  4 3  iw1nl  orceplt tha olonnr1d orrect oprzations are to he refernrcr 1 conduted only an specific and local responses in tho event of terrorist otherwise rrsons frollin into the cnterories specified in paragraph outrapee 7 of reference e ore to bo nrrested only if they are seem at large if such personm nye seen in the vicinity of polline stations they are if ircumstancs permit to be arr  rlfer 3onvir the rollinr sttion rather thrn befcre caatinp their vot  6  and inii  gioketin  cot  o14nglailior  7 tho irntruction inriueod at the time of the order 11 thm inriructionr nrereectd r t for cnof cfironon anolrrr  aci  1    pirkotin  ait loplnr nrtntions  r u 1  cq  cqnbq14  rlr  rl  aply once aain i 1tothis  a rpendj  4  
517,IMG_1757_CJ_4_251,"Mr Cairncross

I attach a draft of a possible statement on arrest policy which may be
of use in your discussions tomorrow.
(a)

to (e);

I have no doubt that we can Justify

but this will not give the army anything like what they want.

have therefore added (f) which might be a possible fall-back position.

If

this provision were to be added, we should have to make sure that the army
do not add a large number of names to the list on the assumption that
everybody knows everything in Northern Ireland.
the names on the list.

D J TREVELYAN
8 August 1972

Jl Division

This really means vetting

I

",mr cairncross  i attach a draft of a possible statement on arrest policy which may be of use in your discussions tomorrow a  to e  i have no doubt that we can justify  but this will not give the army anything like what they want  have therefore added f which might be a possible fallback position  if  this provision were to be added we should have to make sure that the army do not add a large number of names to the list on the assumption that everybody knows everything in northern ireland the names on the list  d j trevelyan 8 august 1972  jl division  this really means vetting  i  
