,image_id,file_id,img_file_orig,justification,level_4
147,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Denial,1
189,IMG_2327,DEFE_13_917,IMG_2327_DEFE_13_917,J_Denial,1
252,IMG_2187,DEFE_24_1214,IMG_2187_DEFE_24_1214,J_Denial,1
259,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Denial,1
420,IMG_2295,DEFE_24_1214,IMG_2295_DEFE_24_1214,J_Denial,1
588,IMG_0187,PREM_15_478,PREM_15_478_187,J_Denial,1
595,IMG_0193,PREM_15_478,PREM_15_478_193,J_Denial,1
602,IMG_0195,PREM_15_478,PREM_15_478_195,J_Denial,1
616,IMG_0201,PREM_15_478,PREM_15_478_201,J_Denial,1
623,IMG_0202,PREM_15_478,PREM_15_478_202,J_Denial,1
728,IMG_5589,PREM_15_480,IMG_5589_PREM_15_480,J_Denial,1
791,IMG_5722,PREM_15_481,IMG_5722_PREM_15_481,J_Denial,1
798,IMG_5723,PREM_15_481,IMG_5723_PREM_15_481,J_Denial,1
1057,IMG_0186,PREM_15_478,PREM_15_478_186,J_Development-Unity,1
1085,IMG_0190,PREM_15_478,PREM_15_478_190,J_Development-Unity,1
1092,IMG_0193,PREM_15_478,PREM_15_478_193,J_Development-Unity,1
1120,IMG_0199,PREM_15_478,PREM_15_478_199,J_Development-Unity,1
1127,IMG_0200,PREM_15_478,PREM_15_478_200,J_Development-Unity,1
1134,IMG_0203,PREM_15_478,PREM_15_478_203,J_Development-Unity,1
1141,IMG_0205,PREM_15_478,PREM_15_478_205,J_Development-Unity,1
1169,IMG_5802,PREM_15_479,IMG_5802_PREM_15_479,J_Development-Unity,1
1281,IMG_6461,PREM_15_1000,IMG_6461_PREM_15_1000,J_Emergency-Policy,1
1295,IMG_6477,PREM_15_1000,IMG_6477_PREM_15_1000,J_Emergency-Policy,1
1302,IMG_6520,PREM_15_1000,IMG_6520_PREM_15_1000,J_Emergency-Policy,1
2030,IMG_1786,CJ_4_251,IMG_1786_CJ_4_251,J_Emergency-Policy,1
2079,IMG_1808,CJ_4_458,IMG_1808_CJ_4_458,J_Emergency-Policy,1
2086,IMG_1809,CJ_4_458,IMG_1809_CJ_4_458,J_Emergency-Policy,1
2107,IMG_1829,CJ_4_458,IMG_1829_CJ_4_458,J_Emergency-Policy,1
2114,IMG_1837,CJ_4_458,IMG_1837_CJ_4_458,J_Emergency-Policy,1
2121,IMG_1839,CJ_4_458,IMG_1839_CJ_4_458,J_Emergency-Policy,1
2122,IMG_1839,CJ_4_458,IMG_1839_CJ_4_458,J_Emergency-Policy,2
2149,IMG_1869,CJ_4_458,IMG_1869_CJ_4_458,J_Emergency-Policy,1
2156,IMG_1876,CJ_4_458,IMG_1876_CJ_4_458,J_Emergency-Policy,1
2163,IMG_1880,CJ_4_458,IMG_1880_CJ_4_458,J_Emergency-Policy,1
2177,IMG_1938,DEFE_13_919,IMG_1938_DEFE_13_919,J_Emergency-Policy,1
2184,IMG_1944,DEFE_13_919,IMG_1944_DEFE_13_919,J_Emergency-Policy,1
2191,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Emergency-Policy,1
2205,IMG_2153,DEFE_24_1214,IMG_2153_DEFE_24_1214,J_Emergency-Policy,1
2206,IMG_2153,DEFE_24_1214,IMG_2153_DEFE_24_1214,J_Emergency-Policy,2
2212,IMG_2154,DEFE_24_1214,IMG_2154_DEFE_24_1214,J_Emergency-Policy,1
2213,IMG_2154,DEFE_24_1214,IMG_2154_DEFE_24_1214,J_Emergency-Policy,2
2219,IMG_2156,DEFE_24_1214,IMG_2156_DEFE_24_1214,J_Emergency-Policy,1
2303,IMG_2190,DEFE_24_1214,IMG_2190_DEFE_24_1214,J_Emergency-Policy,1
2310,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Emergency-Policy,1
2311,IMG_2191,DEFE_24_1214,IMG_2191_DEFE_24_1214,J_Emergency-Policy,2
2345,IMG_2235,DEFE_24_1214,IMG_2235_DEFE_24_1214,J_Emergency-Policy,1
2492,IMG_4854,PREM_15_475,IMG_4854_PREM_15_475,J_Emergency-Policy,1
3003,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,1
3004,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,2
3005,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,3
3017,IMG_1944,DEFE_13_919,IMG_1944_DEFE_13_919,J_Intelligence,1
3122,IMG_5241,PREM_15_485,IMG_5241_PREM_15_485,J_Intelligence,1
3304,IMG_0193,PREM_15_478,PREM_15_478_193,J_Intl-Domestic_Precedent,1
3416,IMG_6421,PREM_15_486,IMG_6421_PREM_15_486,J_Intl-Domestic_Precedent,1
3430,IMG_2155,DEFE_24_1214,IMG_2155_DEFE_24_1214,J_Last-resort,1
3500,IMG_0186,PREM_15_478,PREM_15_478_186,J_Last-resort,1
3507,IMG_0190,PREM_15_478,PREM_15_478_190,J_Last-resort,1
3528,IMG_0199,PREM_15_478,PREM_15_478_199,J_Last-resort,1
3535,IMG_0200,PREM_15_478,PREM_15_478_200,J_Last-resort,1
3542,IMG_0205,PREM_15_478,PREM_15_478_205,J_Last-resort,1
3549,IMG_0215,PREM_15_478,PREM_15_478_215,J_Last-resort,1
3556,IMG_0216,PREM_15_478,PREM_15_478_216,J_Last-resort,1
3612,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Law-and-order,1
3752,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Law-and-order,1
3773,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Law-and-order,1
3774,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Law-and-order,2
3787,IMG_1878,CJ_4_458,IMG_1878_CJ_4_458,J_Law-and-order,1
3808,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Law-and-order,1
3809,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Law-and-order,2
3815,IMG_2153,DEFE_24_1214,IMG_2153_DEFE_24_1214,J_Law-and-order,1
3822,IMG_2156,DEFE_24_1214,IMG_2156_DEFE_24_1214,J_Law-and-order,1
4025,IMG_0189,PREM_15_478,PREM_15_478_189,J_Law-and-order,1
4032,IMG_0195,PREM_15_478,PREM_15_478_195,J_Law-and-order,1
4046,IMG_0202,PREM_15_478,PREM_15_478_202,J_Law-and-order,1
4060,IMG_0205,PREM_15_478,PREM_15_478_205,J_Law-and-order,1
4172,IMG_9572,DEFE_13_1358,IMG_9572_DEFE_13_1358,J_Legal_Procedure,1
4214,IMG_6468,PREM_15_1000,IMG_6468_PREM_15_1000,J_Legal_Procedure,1
4221,IMG_6489,PREM_15_1000,IMG_6489_PREM_15_1000,J_Legal_Procedure,1
4228,IMG_6497,PREM_15_1000,IMG_6497_PREM_15_1000,J_Legal_Procedure,1
4229,IMG_6497,PREM_15_1000,IMG_6497_PREM_15_1000,J_Legal_Procedure,2
4235,IMG_6538,PREM_15_1000,IMG_6538_PREM_15_1000,J_Legal_Procedure,1
4298,IMG_6711,PREM_15_1001,IMG_6711_PREM_15_1001,J_Legal_Procedure,1
4312,IMG_6721,PREM_15_1001,IMG_6721_PREM_15_1001,J_Legal_Procedure,1
4361,IMG_6784,PREM_15_1002,IMG_6784_PREM_15_1002,J_Legal_Procedure,1
4389,IMG_6840,PREM_15_1002,IMG_6840_PREM_15_1002,J_Legal_Procedure,1
4403,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Legal_Procedure,1
4404,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Legal_Procedure,2
4410,IMG_6913,PREM_15_1003,IMG_6913_PREM_15_1003,J_Legal_Procedure,1
4648,IMG_6110,PREM_15_483,IMG_6110_PREM_15_483,J_Legal_Procedure,1
4690,IMG_6315,PREM_15_484,IMG_6315_PREM_15_484,J_Legal_Procedure,1
4879,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Legal_Procedure,1
4880,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Legal_Procedure,2
4907,IMG_8716,PREM_15_1690,IMG_8716_PREM_15_1690,J_Legal_Procedure,1
4908,IMG_8716,PREM_15_1690,IMG_8716_PREM_15_1690,J_Legal_Procedure,2
4949,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,1
4950,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,2
4951,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,3
4963,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Legal_Procedure,1
5012,IMG_1828,CJ_4_458,IMG_1828_CJ_4_458,J_Legal_Procedure,1
5019,IMG_1829,CJ_4_458,IMG_1829_CJ_4_458,J_Legal_Procedure,1
5026,IMG_1837,CJ_4_458,IMG_1837_CJ_4_458,J_Legal_Procedure,1
5033,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Legal_Procedure,1
5047,IMG_1843,CJ_4_458,IMG_1843_CJ_4_458,J_Legal_Procedure,1
5054,IMG_1857,CJ_4_458,IMG_1857_CJ_4_458,J_Legal_Procedure,1
5089,IMG_1868,CJ_4_458,IMG_1868_CJ_4_458,J_Legal_Procedure,1
5103,IMG_1875,CJ_4_458,IMG_1875_CJ_4_458,J_Legal_Procedure,1
5110,IMG_1876,CJ_4_458,IMG_1876_CJ_4_458,J_Legal_Procedure,1
5111,IMG_1876,CJ_4_458,IMG_1876_CJ_4_458,J_Legal_Procedure,2
5117,IMG_1878,CJ_4_458,IMG_1878_CJ_4_458,J_Legal_Procedure,1
5124,IMG_1879,CJ_4_458,IMG_1879_CJ_4_458,J_Legal_Procedure,1
5194,IMG_1938,DEFE_13_919,IMG_1938_DEFE_13_919,J_Legal_Procedure,1
5292,IMG_2217,DEFE_24_1214,IMG_2217_DEFE_24_1214,J_Legal_Procedure,1
5306,IMG_2233,DEFE_24_1214,IMG_2233_DEFE_24_1214,J_Legal_Procedure,1
5313,IMG_2234,DEFE_24_1214,IMG_2234_DEFE_24_1214,J_Legal_Procedure,1
5390,IMG_4938,PREM_15_475,IMG_4938_PREM_15_475,J_Legal_Procedure,1
5446,IMG_5089,PREM_15_475,IMG_5089_PREM_15_475,J_Legal_Procedure,1
5453,IMG_5327,PREM_15_474,IMG_5327_PREM_15_474,J_Legal_Procedure,1
5649,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Legal_Procedure,1
5650,IMG_5606,PREM_15_480,IMG_5606_PREM_15_480,J_Legal_Procedure,2
5691,IMG_6133,PREM_15_482,IMG_6133_PREM_15_482,J_Legal_Procedure,1
5761,IMG_6239,PREM_15_482,IMG_6239_PREM_15_482,J_Legal_Procedure,1
5838,IMG_9572,DEFE_13_1358,IMG_9572_DEFE_13_1358,J_Misc,1
5852,IMG_9630,DEFE_13_1358,IMG_9630_DEFE_13_1358,J_Misc,1
5866,IMG_9742,DEFE_13_1358,IMG_9742_DEFE_13_1358,J_Misc,1
5894,IMG_6477,PREM_15_1000,IMG_6477_PREM_15_1000,J_Misc,1
5908,IMG_6493,PREM_15_1000,IMG_6493_PREM_15_1000,J_Misc,1
5922,IMG_6538,PREM_15_1000,IMG_6538_PREM_15_1000,J_Misc,1
