File_Img,Sentence,DNV Notes,c2.justification_any,c2.J_Emergency_Policy,c2.J_Legal_Procedure,c2.J_Terrorism,c2.J_Misc,c2.J_Law_Order,c2.J_Utilitarian_Deterrence,c2.J_Intl_Domestic_Precedent,c2.J_Development_Unity,c2.J_Political_Strategic,c2.J_Last_Resort,c2.J_Denial,skd.justification_any,skd.J_Emergency_Policy,skd.J_Legal_Procedure,skd.J_Terrorism,skd.J_Misc,skd.J_Law_Order,skd.J_Utilitarian_Deterrence,skd.J_Intl_Domestic_Precedent,skd.J_Development_Unity,skd.J_Political_Strategic,skd.J_Last_Resort,skd.J_Denial
PREM-15_478_195,[head text],,,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,I am sending you,security situation ,1,1,,,,,,,,,,,1,1,,,1,,,,,,,
PREM-15_478_195,The security forces are,terr/law and order in NI,1,,,1,,1,,,,,,,1,,,1,,1,,,,,,
PREM-15_478_195,He will at the ,marches,1,,,,,,,,,1,,,1,,,,,,,,,1,,
PREM-15_478_195,The ban will be ,,0,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,He will also announce ,rifle clubs,1,,,,,,,,,1,,,1,,,,,,,,,1,,
PREM-15_478_195,You will understand why ,,0,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,The security forces have in fact,,0,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,When Faulkner came to London ,inevtiable,1,,,,1,,,,,,,,1,,,,1,,,,,,,
PREM-15_478_195,The latest series of acts ,"terrorism; pressures - not clear by whom, so NOT coding; economic and social stability I read as stability == law and order.",1,,,1,,1,,,,,,,1,,,1,,,,,1,1,,
PREM-15_478_195,In purely military terms ,"militarilty, this is a long haul but better than for the community == militarily advantagous to enact internment",1,,,,1,,1,,,,,,1,,,,1,,1,,,,,
PREM-15_478_195,That is his judgment of the situation ,,0,,,,,,,,,,,,1,,,,1,,,,,,,
PREM-15_478_195,"For our part, though he ",ban on marches,1,,,,,,,,,1,,,1,,,,,,,,,1,,
PREM-15_478_195,We realise that these decisions ,interment has advantages (and dangers) but not specificed -- misc,1,,,,1,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,Clearly the effectiveness of internment ,ROI should intern too == intl ,1,,,,,,,1,,,,,1,,,,,,,1,,,,
PREM-15_478_195,But I judged from our ,"I forgot to code this while I was going; as we were reading before we discussed I said misc because ""inducment to Faulkner to hold his hand"" implied to me that Faulkner ws the one making the shots",1,,,,1,,,,,,,,1,,,,,,,1,,,,
PREM-15_478_195,We have however made clear ,should not discriminate == political ,1,,,,,,,,,1,,,1,,,,,,,,,,,1
PREM-15_478_195,The marches due in Derry ,I assumed this was more about logistics/admin details,0,,,,,,,,,,,,1,,,,,,,,,1,,
PREM-15_478_195,An advisory committee will be ,"I cued denial from the use of the word ""right""",1,,,,,,,,,,,1,1,,,,,,,,,,,1
PREM-15_478_195,I regret no less than you ,Necessary = misc,1,,,,1,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,"I hope that, in the light of what I have",,0,,,,,,,,,,,,,,,,,,,,,,,
PREM-15_478_195,There will be many who ,internment is aimed agained particular indiviudals who are…working for a breakdown of law and order == law and order,1,,,,,1,,,,,,,1,,,,,1,,,,,,
