Obs_number,File_Img,Sentence,Round,skd.justification_any,skd.J_Emergency_Policy,skd.J_Legal_Procedure,skd.J_Terrorism,skd.J_Misc,skd.J_Law_Order,skd.J_Utilitarian_Deterrence,skd.J_Intl_Domestic_Precedent,skd.J_Development_Unity,skd.J_Political_Strategic,skd.J_Last_Resort,skd.J_Denial
1,1507_DEFE_24_877,Protestant violence erupted,1,0,,,0,,,,,,,,
2,1507_DEFE_24_877,It would be prudent,1,1,,,1,,,,,,,,
3,1507_DEFE_24_877,Transferring prisoners to,1,0,,,0,,,,,,,,
4,1507_DEFE_24_877,"Reinforcing, still further,",1,0,,,0,,,,,,,,
5,1507_DEFE_24_877,Force levels,1,,,,,,,,,,,,
6,1507_DEFE_24_877,The force level,1,,,,,,,,,,,,
7,1507_DEFE_24_877,There are three,1,,,,,,,,,,,,
8,1507_DEFE_24_877,Province Reserve.,1,,,,,,,,,,,,
9,1507_DEFE_24_877,1 DERR was due,1,,,,,,,,,,,,
10,1507_DEFE_24_877,It has now,1,,,,,,,,,,,,
11,1507_DEFE_24_877,"It does mean,",1,,,,,,,,,,,,
12,1507_DEFE_24_877,Reinforcement,1,,,,,,,,,,,,
13,1507_DEFE_24_877,A reinforcement of,1,,,,,,,,,,,,
14,1507_DEFE_24_877,The former depends,1,,,,,,,,,,,,
15,1507_DEFE_24_877,[foot text],1,,,,,,,,,,,,
16,6497_PREM_15_1000,of arrest,1,0,,0,,,,,,,,,
17,6497_PREM_15_1000,(Some weeks ago,1,1,,1,,,,,,,,,
18,6497_PREM_15_1000,Mr. Closs had,1,0,,0,,,,,,,,,
19,6497_PREM_15_1000,Other men may,1,1,,1,,,,,,,,,
20,6497_PREM_15_1000,This development will,1,1,,1,,,,,,,,,
21,6497_PREM_15_1000,The Home Office,1,0,,0,,,,,,,,,
22,6497_PREM_15_1000,BBC Television 'Debate',1,,,,,,,,,,,,
23,6497_PREM_15_1000,6. The BBC,1,,,,,,,,,,,,
24,6497_PREM_15_1000,The Northern Ireland,1,,,,,,,,,,,,
25,6497_PREM_15_1000,It is not,1,,,,,,,,,,,,
26,6497_PREM_15_1000,Coalisland Shooting,1,,,,,,,,,,,,
27,6497_PREM_15_1000,9. The Irish News,1,,,,,,,,,,,,
28,6497_PREM_15_1000,The committee claims,1,,,,,,,,,,,,
29,6497_PREM_15_1000,10. The Special Investigation,1,,,,,,,,,,,,
30,6497_PREM_15_1000,11. The intended line,1,,,,,,,,,,,,
31,6497_PREM_15_1000,[foot text],1,,,,,,,,,,,,
32,7508_PREM_15_1008,[head text],1,,,,,,,,,,,,
33,7508_PREM_15_1008,Intelligence,1,,,,,,,,,,,,
34,7508_PREM_15_1008,The overal level,1,,,,,,,,,,,,
35,7508_PREM_15_1008,There have been,1,,,,,,,,,,,,
36,7508_PREM_15_1008,The Ulster Defence Association,1,,,,,,,,,,,,
37,7508_PREM_15_1008,Operations,1,,,,,,,,,,,,
38,7508_PREM_15_1008,2. The parades at ,1,,,,,,,,,,,,
39,7508_PREM_15_1008,It is possible,1,,,,,,,,,,,,
40,7508_PREM_15_1008,The spread of,1,,,,,,,,,,,,
41,7508_PREM_15_1008,Arrest policy,1,,,,,,,,,,,,
42,7508_PREM_15_1008,3. The arrest of,1,1,,1,,1,,,,,,,
43,7508_PREM_15_1008,Three of the men,1,1,,1,,1,,,,,,,
44,7508_PREM_15_1008,The question is,1,1,,1,,1,,,,,,,
45,7508_PREM_15_1008,The Northern Ireland Office,1,1,,1,,1,,,,,,,
46,7508_PREM_15_1008,4. The policy regarding,1,1,,,,1,,,,,,,
47,7508_PREM_15_1008,The Northern Ireland Office,1,,,,,,,,,,,,
48,7508_PREM_15_1008,[foot text],1,,,,,,,,,,,,
49,7595_PREM_15_1008,[head text],1,,,,,,,,,,,,
50,7595_PREM_15_1008,The following are,1,,,,,,,,,,,,
51,7595_PREM_15_1008,A. The Security Situation,1,,,,,,,,,,,,
52,7595_PREM_15_1008,(1) The Chief of,1,,,,,,,,,,,,
53,7595_PREM_15_1008,(2) The Secretary of State,1,1,1,,,,,,,,,,
54,7595_PREM_15_1008,There will still,1,1,1,,,,,,,,,,
55,7595_PREM_15_1008,(3) Following the renewed,1,,,,,,,,,,,,
56,7595_PREM_15_1008,He might be,1,,,,,,,,,,,,
57,7595_PREM_15_1008,(4) At the meeting,1,,,,,,,,,,,,
58,7595_PREM_15_1008,He might be,1,,,,,,,,,,,,
59,7595_PREM_15_1008,B. The Current Political,1,,,,,,,,,,,,
60,7595_PREM_15_1008,(1) and (2) The Secretary,1,,,,,,,,,,,,
61,7595_PREM_15_1008,It might be,1,,,,,,,,,,,,
62,7595_PREM_15_1008,Separate briefs will,1,,,,,,,,,,,,
63,7595_PREM_15_1008,(3) The Lord President might,1,,,,,,,,,,,,
64,7595_PREM_15_1008,(4) If the Secretary,1,,,,,,,,,,,,
65,2105_DEFE_13_919,[head text],1,,,,,,,,,,,,
66,2105_DEFE_13_919,(9) Compensation,1,,,,,,,,,,,,
67,2105_DEFE_13_919,Any question of,1,,,,,,,,,,,,
68,2105_DEFE_13_919,(10) Allegations of continuing,1,,,,,,,,,,,,
69,2105_DEFE_13_919,Complaints about the,1,,,,,,,,,,,,
70,2105_DEFE_13_919,They will be fully,1,,,,,,,,,,,,
71,2105_DEFE_13_919,A number of ,1,,,,,,,,,,,,
72,2105_DEFE_13_919,People making the,1,,,,,,,,,,,,
73,2105_DEFE_13_919,Sir Edmund Compton is,1,1,,1,,,,,,,,,
74,2105_DEFE_13_919,He is prepared,1,,,,,,,,,,,,
75,2105_DEFE_13_919,(11) Ministerial Responsibility,1,,,,,,,,,,,,
76,2105_DEFE_13_919,As the minister,1,,,,,,,,,,,,
77,2105_DEFE_13_919,They were aware,1,1,,,,1,,,,,,,
78,2105_DEFE_13_919,They were not acquainted with,1,,,,,,,,,,,,
