Name	Memo Link	Files	References	Created On	Created By	Modified On	Modified By
ordinary_law		38	55	Dec 24, 2019, 1:51:41 PM	SKD	Jan 6, 2020, 5:52:13 PM	SKD
Political_prisoners		12	15	Dec 18, 2019, 6:53:38 AM	SKD	Dec 27, 2019, 4:17:06 PM	SKD
Untitled (2)		0	0	Dec 30, 2019, 7:08:43 AM	SKD	Dec 30, 2019, 7:11:14 AM	SKD
Round1_Substantive_codes		0	0	Sep 23, 2019, 10:38:51 PM	SKD	Sep 24, 2019, 12:51:03 PM	DNV
  B.Pro-social_govt		144	285	Jul 5, 2019, 12:37:17 PM	SKD	Sep 23, 2019, 10:32:03 PM	SKD
  B.Terrorism		941	1861	Jun 30, 2019, 6:23:31 PM	SKD	Nov 20, 2019, 9:40:41 AM	SKD
  B.External_parallel		131	262	Jul 13, 2019, 9:19:43 AM	SKD	Sep 23, 2019, 10:32:03 PM	SKD
  A.Internment		1382	2763	Jun 30, 2019, 6:22:59 PM	SKD	Dec 27, 2019, 5:59:46 AM	SKD
  B.IRA		1644	3287	Jun 30, 2019, 6:28:33 PM	SKD	Sep 24, 2019, 2:40:19 PM	SKD
  B.Built_structures		768	1535	Jun 30, 2019, 6:30:16 PM	SKD	Sep 23, 2019, 10:32:03 PM	SKD
  B.PGM		1246	2491	Jun 30, 2019, 6:29:49 PM	SKD	Sep 24, 2019, 2:40:19 PM	SKD
  B.Useful_misc		232	366	Jul 13, 2019, 12:52:55 PM	SKD	Sep 24, 2019, 2:40:19 PM	SKD
  B.Constitutionality		1248	2492	Jul 13, 2019, 8:56:27 AM	SKD	Nov 19, 2019, 12:37:25 PM	SKD
  A.Torture		764	1528	Jun 30, 2019, 6:23:11 PM	SKD	Sep 24, 2019, 2:40:19 PM	SKD
  B.Religion		1831	3653	Jun 30, 2019, 6:31:01 PM	SKD	Dec 12, 2019, 2:48:56 PM	SKD
  B.Govt_control_information		433	856	Jul 13, 2019, 9:23:54 AM	SKD	Sep 23, 2019, 10:32:03 PM	SKD
  B.Event_data		1469	2937	Jun 30, 2019, 6:29:34 PM	SKD	Nov 19, 2019, 12:56:06 PM	SKD
  A.Govt_control_expression		201	402	Jul 13, 2019, 8:27:20 AM	SKD	Sep 23, 2019, 10:32:03 PM	SKD
  B.Military_strategy		428	855	Jul 13, 2019, 9:39:35 AM	SKD	Sep 24, 2019, 2:40:19 PM	SKD

release_internees		1	1	Dec 10, 2019, 4:08:49 PM	SKD	Dec 10, 2019, 4:09:36 PM	SKD
J2_Torture		31	47	Dec 30, 2019, 6:49:29 AM	SKD	Jan 6, 2020, 7:17:06 PM	SKD
3. Policymaking-process		332	607	Nov 20, 2019, 6:55:09 AM	SKD	Dec 31, 2019, 5:24:41 PM	SKD
Opposition_non-UK-govt		235	338	Dec 1, 2019, 11:43:08 AM	SKD	Jan 6, 2020, 5:46:06 PM	SKD
Public		38	74	Nov 20, 2019, 6:51:15 AM	SKD	Dec 25, 2019, 5:43:53 PM	SKD
Rights_violation_acknowledged		85	111	Nov 30, 2019, 11:00:25 AM	SKD	Jan 6, 2020, 5:24:22 PM	SKD
Internment-misc		459	604	Nov 20, 2019, 7:05:54 AM	SKD	Jan 6, 2020, 5:53:30 PM	SKD
Untitled		1	2	Dec 10, 2019, 5:48:03 PM	SKD	Dec 10, 2019, 5:48:03 PM	SKD
IMPORTANT		14	23	Dec 18, 2019, 6:58:02 PM	SKD	Jan 6, 2020, 3:07:32 PM	SKD
Debate		282	446	Nov 20, 2019, 6:54:48 AM	SKD	Jan 6, 2020, 5:25:27 PM	SKD
Internment_Justifications		0	0	Jan 6, 2020, 7:21:07 PM	SKD	Jan 6, 2020, 7:21:45 PM	SKD
  J_Denial		118	170	Nov 20, 2019, 6:50:39 AM	SKD	Jan 6, 2020, 3:26:54 PM	SKD
  J_Utilitarian-Deterrence		47	60	Nov 20, 2019, 6:50:00 AM	SKD	Dec 30, 2019, 7:30:34 PM	SKD
  J_Last-resort		22	23	Nov 20, 2019, 6:50:26 AM	SKD	Dec 30, 2019, 3:53:22 PM	SKD
  J_Terrorism		188	313	Nov 20, 2019, 6:49:41 AM	SKD	Jan 6, 2020, 5:53:06 PM	SKD
  J_Legal_Procedure		207	293	Nov 24, 2019, 8:10:28 AM	SKD	Jan 6, 2020, 5:51:26 PM	SKD
  J_Intl-Domestic_Precedent		42	48	Nov 20, 2019, 6:50:33 AM	SKD	Dec 30, 2019, 6:43:28 PM	SKD
  J_Law-and-order		77	92	Nov 19, 2019, 5:20:29 PM	SKD	Jan 6, 2020, 5:51:22 PM	SKD
  J_Development-Unity		59	77	Nov 21, 2019, 7:23:13 AM	SKD	Dec 30, 2019, 3:52:57 PM	SKD
  J_Misc		240	362	Nov 20, 2019, 6:51:03 AM	SKD	Jan 6, 2020, 5:36:09 PM	SKD
  J_Political-Strategic		98	146	Nov 19, 2019, 5:10:37 PM	SKD	Dec 30, 2019, 7:32:14 PM	SKD
  J_Emergency-Policy		217	296	Nov 20, 2019, 6:49:30 AM	SKD	Jan 6, 2020, 3:26:36 PM	SKD
  J_Intelligence		24	31	Dec 30, 2019, 6:48:50 AM	SKD	Jan 6, 2020, 7:17:56 PM	SKD

oppose_torture		1	2	Dec 30, 2019, 5:54:15 PM	SKD	Dec 30, 2019, 5:56:30 PM	SKD
end_internment		98	123	Dec 11, 2019, 4:02:37 PM	SKD	Jan 6, 2020, 5:36:01 PM	SKD
Round1_Archive_codes		0	0	Sep 23, 2019, 10:42:24 PM	SKD	Sep 23, 2019, 10:43:02 PM	SKD
  D.Omitted		68	136	Jul 5, 2019, 10:07:13 PM	SKD	Sep 23, 2019, 10:32:03 PM	SKD
