,image_id,justification,level_2,text
0,IMG_9711,J_Denial,1,"Information about the tribunal should emphasise the steps that will be 
taken to separate the decision to detain a person from the executive."
7,IMG_6736,J_Denial,1,"McAuley’s father, who is an internee at Long esh, was allowed out on parole for the funeral he had not reported back by 4 p.m."
14,IMG_6773,J_Denial,1,THE DISCUSSION IN JSC MOVED ON TO A SUGGESTION BY BLOOMFIELD THAT THERE SHOULD BE A PUBLIC STATEMENT WHICH WOULD BE DESIGNED TO CLEAR UP SOME MISCONCEPTIONS ABOUT INTERNMENT EG THE LEGAL BASIS FOR IT AND THE RIGHT OF INTERNEES TO SECURE LEGAL ADVICE IN PRESENTING THEMSELVES TO JUDGE BROWN’S COMMITTEE.
21,IMG_7291,J_Denial,1,"I have also arranged that in future men who have a genuine reason for parole while my review is taking place 
- to attend a funeral, for example - 
allowed to stay out for twice the present period. From three days, to six days. 
I hope to be lenient in other domestic circumstances too. This week, for example, a man was permitted to leave internment to attend a double wedding and I was glad to authorise it."
28,IMG_7553,J_Denial,1,"The fact that some of the prisoners involved in the Mountjoy Prison 
riot have been removed to the Curragh has led to charges that internment is being introduced by the back door, but this was denied by the Minister for Justice, Mr O’Malley."
35,IMG_7697,J_Denial,1,that there should not at present be any question of a statutory indemnity for members of the security forces.
42,IMG_7858,J_Denial,1,"As the International Red Cross have already commented adversely on the psychological effects of boredom, etc, on internees, it is proposed to permit the use of a limited range of hand tools for hobbies but to do so on the basis of a daily issue which must be handed back each evening."
49,IMG_8053,J_Denial,1,"In addition, they intend at an early date to introduce provisions under the Special Powers Act to set up a tribunal to deal with persons suspected of participation in terrorist activities by means of a procedure which will provide maximum safeguards for the protection of the individual and will eliminate the objectionable features of internment, notably judgment by executive decision alone, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland."
50,IMG_8053,J_Denial,2,"But the Government wish to make clear at once that these measures will not in any way be directed against the holding of opinions, but against the use, or encouragement, of violence and terror to force those opinions on law abiding citizens."
51,IMG_8053,J_Denial,3,These interim provisions will be employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence.
