text,strlabel,labels,source_handcoded_sent,perplexity
As a result CLF issued a revised Directive for future operations to cover the period until the publication of the White Paper.,Negative,0,,58.03543472290039
"The most significant of these are the trial of terrorist offences by a judge sitting alone, restrictions on the granting of bail and the admissibility of confessions and certain written statements.",Positive,1,"The most significant of these are the trial of terrorist offences by a judge sitting alone, restrictions on the granting of bail and the admissibility of confessions and certain written statements.",29.86618995666504
"Nor do we want to encourage the propaganda deduction that ""the Security Forces do not protect you, the Catholics, from the murdering Protestants and therefore we, the IRA (Provisional or Official), will defend you and you must support us"". Immediate steps have been taken operationally to counter this spate of murders the most notable of which was the formation of a joint RUC/RMP Task Force initially operating in East Belfast.",Negative,0,,41.77294158935547
The basis for this assessment is the publicity given to discharge by purchase rates in 2 PARA and the conviction by court martial of 4 soldiers of 3 RRF for drug offences.,Negative,0,,125.17805480957031
"The force is assisted by an extension of the anonymous telephone-in facility (robotphone). 
9. From the Army’s point of view the most serious propaganda attacks have been 
charges that Army morale is sagging.",Negative,0,,134.8867645263672
"The Commission recognised that there was a continuing need for detention by the executive, but they proposed, amongst other things, various changes in court procedures which will be of considerable assistance to the Security Forces.",Positive,1,"The Commission recognised that there was a continuing need for detention by the executive, but they proposed, amongst other things, various changes in court procedures which will be of considerable assistance to the Security Forces.",39.335052490234375
"PROPAGANDA 8. 
With the continuing numbers of unexplained murders IRA propaganda and 
Catholics generally have been quick to refer to these as sectarian murders and attribute them to Protestant extremists and in some cases Army Assassination Squads.",Negative,0,,95.07160186767578
"Guidance on these two subjects has been issued, but.",Negative,0,,38.56822967529297
Legislation is therefore being prepared and this may include those emergency powers which will still be required if the Government decides to repeal the Special Powers Act.,Positive,1,Legislation is therefore being prepared and this may include those emergency powers which will still be required if the Government decides to repeal the Special Powers Act.,25.746517181396484
"Of course frequent service in Northern Ireland has an effect on soldiers, but there is no evidence that this has resulted in a loss of morale nor that is has affected operational efficiency.",Negative,0,,29.580785751342773
