text,strlabel,labels
"2. Initially the reactions of the civil population were against internment, but after its inception they reacted favourably to a return of comparative peace, and were prepared to pass information to the Crown Forces.",J_Political-Strategic,0
3. Internment was the natural progression of a campaign which had failed to defeat the rebels when acting within the limits of civil law as it existed then.,J_Emergency-Policy,1
Adequate provision for detainees in detention camps must be planned well in advance.,J_Denial,2
"4. Internment may have small beginnings but quickly snowballs. This is because hard intelligence is fairly quickly forthcoming from the new detainees, and also because the public at large becomes more free with its information once internment is ordered. Adequate provision for detainees in detention campus must be planned well in advance.",J_Political-Strategic,0
"1. Internment may not be the only solution and can never be the final answer, but it is shown to be the most effective method used in containing the rebellion. It finally broke the back of the IRA. Only the truce gave them the breathing space to reorganise.",J_Emergency-Policy,1
"The Secretary of State said that he could not risk ending internment without an end of violence. If major acts of terrorism took place after the ending of internment his position would be impossible. If there were a genuine end of terrorism,even for a limited period, there would be a genuine response from the Governmentand,subject to consultations with his colleagues, he did not rule out the ending of internment in these circumstances.",J_Misc,3
"The Secretary of State said that he could not risk ending internment without an end of violence. If major acts of terrorism took place after the ending of internment his position would be impossible. If there were a genuine end of terrorism,even for a limited period, there would be a genuine response from the Governmentand,subject to consultations with his colleagues, he did not rule out the ending of internment in these circumstances.",J_Utilitarian-Deterrence,4
"If the Secretary of State took the risk of a complete end to internment the pressures on the Provisionals to end violence would be irresistible.
",J_Misc,3
"The Secretary of State said that he could not risk ending internment without an end of violence. If major acts of terrorism took place after the ending of internment his position would be impossible. If there were a genuine end of terrorism,even for a limited period, there would be a genuine response from the Governmentand,subject to consultations with his colleagues, he did not rule out the ending of internment in these circumstances.",J_Terrorism,5
"would conclude by saying, in the appropriate legal language, that the DPP had examined all the files relating to offences committed during the late troubles, and had concluded that the evidence available was insufficient to warrant proceedings, against anyone ""save those listed above"", and that the RUC had therefore closed all other files.
",J_Legal_Procedure,6
This public statement,J_Legal_Procedure,6
"Without doubt a key issue is internment. Let no-one be under any illusion. The people who are behind the wire were put there because of the dangerous situation confronting this community in the recent past.
",J_Emergency-Policy,1
Initially I have looked at those cases which the security authorities have advised might be considered for early release and last night I signed Orders authorising the release of 47 internees.,J_Emergency-Policy,1
As I promised I have begun to review personally the cases of the 728 people still interned under the Special Powers Act.,J_Legal_Procedure,6
"There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence, and has impeded the cause of justice.",J_Law-and-order,7
"In purely military terms, seeking to contain this deteriorating situation by the means employed hitherto would have meant at best a long haul.",J_Last-resort,8
"The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it essential to take this action, however abhorrent, in order to prevent the undermining of economic and social stability in Northern Ireland.",J_Development-Unity,9
"There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence, and has impeded the cause of justice.",J_Terrorism,5
"The decision is, of course, Faulkner’s, since the 
powers under which these measures are taken are powers of the Northern Ireland Government.",J_Legal_Procedure,6
"Faulkner’s 
judgment was that the consequences of that for the community would be worse than the consequences of what is now proposed.",J_Utilitarian-Deterrence,4
"the right and indeed inevitable course.
",J_Misc,3
"If this move enables us to reduce the number of troops committed to Northern Ireland earlier than we could otherwise have done, that will be a welcome consequence of it.",J_Misc,3
"The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it essential to take this action, however abhorrent, in order to prevent the undermining of economic and social stability in Northern Ireland.",J_Terrorism,5
"The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it essential to take this action, however abhorrent, in order to prevent the undermining of economic and social stability in Northern Ireland.",J_Political-Strategic,0
"There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence, and has impeded the cause of justice.",J_Misc,3
"But 
we have made it clear to Faulkner that there could be no question of our accepting internment, and instructing our",J_Political-Strategic,0
"In dealing with a terrorist campaign such as that in Northern Ireland, 
intelligence is the key to successful operations, and the key to intelligence is information regarding the operations, dispositions, and plans of the terrorists.",J_Terrorism,5
"Following the decision of the Northern Ireland Government; after 
consultation with Her Majesty’s Government, to exercise powers of detention and internment where necessary, the formal authority for the removal of certain individuals from the place specified in their detention orders to the interrogation centre was given by the Northern Ireland Minister of Home Affairs.",J_Legal_Procedure,6
"In dealing with a terrorist campaign such as that in Northern Ireland, 
intelligence is the key to successful operations, and the key to intelligence is information regarding the operations, dispositions, and plans of the terrorists.",J_Intelligence,10
"Following the decision of the Northern Ireland Government; after 
consultation with Her Majesty’s Government, to exercise powers of detention and internment where necessary, the formal authority for the removal of certain individuals from the place specified in their detention orders to the interrogation centre was given by the Northern Ireland Minister of Home Affairs.",J_Misc,3
There comes a stage when a government cannot afford to wait until known terrorists choose the moment to strike.,J_Utilitarian-Deterrence,4
"Why then should the same processes of law not have their way with 
members of the I.R.A.? In many cases, of course, the law has caught up 
with them and about 40 members of the organisation are at present serving prison sentences, but they represent only a small proportion of membership and further steps had to be taken.
",J_Emergency-Policy,1
"Furthermore, intimidation had made 
it more and more difficult to get witnesses to give evidence against members of the I.R.A. 
It was clearly intolerable that they should be able any 
longer by this means to place themselves effectively beyond the law.",J_Law-and-order,7
"Internment involves the Catholic community only to the extent that 
some, I say some, member of that community have become involved in I.R.A. activity.",J_Denial,2
"It is directed against 
an unlawful and ruthless association, whose clear aim it is to overthrow by force of arms the constitution and laws of Northern Ireland.",J_Emergency-Policy,1
"When one is dealing with an armed 
conspiracy it may be necessary to take pre-emptive action rather than wait until those involved can be caught red-handed.
",J_Utilitarian-Deterrence,4
"Internment involves the Catholic community only to the extent that 
some, I say some, member of that community have become involved in I.R.A. activity.",J_Terrorism,5
"Internment is not appropriate in the case of those people who 
may have been guilty of indiscriminate or malicious violence, and I am satisfied that the ordinary processes of law are sufficient to deal with the great majority of them.
",J_Emergency-Policy,1
"It is alleged that internment is being directed against the Catholic 
section of the population. This is simply untrue.
",J_Denial,2
"When I.R.A. groups emerge 
from concealment for an attack the security forces are always in a position to engage or capture and if open confrontation occurs there is always, as we know, an appalling risk of innocent people being injured or killed.
",J_Emergency-Policy,1
"There comes a stage when a government cannot afford to wait until known terrorists choose the moment to strike.
",J_Terrorism,5
"It is directed against 
an unlawful and ruthless association, whose clear aim it is to overthrow by force of arms the constitution and laws of Northern Ireland.
",J_Terrorism,5
"Why then should the same processes of law not have their way with 
members of the I.R.A.? In many cases, of course, the law has caught up 
with them and about 40 members of the organisation are at present serving prison sentences, but they represent only a small proportion of membership and further steps had to be taken.
",J_Terrorism,5
"Furthermore, intimidation had made 
it more and more difficult to get witnesses to give evidence against members of the I.R.A. 
It was clearly intolerable that they should be able any 
longer by this means to place themselves effectively beyond the law.
",J_Terrorism,5
In addition the Civil Authorities (Special Powers) Act (Northern Ireland (1922) (referred to as the Special Powers Act or SPA) confers further powers of arrest on soldiers when on duty.,J_Legal_Procedure,6
"In addition the Civil 
Authorities S ooia jPowers Act (Northern Ireland) 1922 (referred to as the Spoo l Powers Act or SPA) oonfers further power of arreSt 011 soldlor when on duty.
",J_Legal_Procedure,6
"of planning can vary between many days and a few rinutes but it is most important that the formula on the Blue Card i. used in every case
",J_Legal_Procedure,6
Theme are normally made under the SPA powers. The degree,J_Legal_Procedure,6
"As long as soldiers and officials 
act within such powers they require no indemnity because the jurisdiction of the courts is effectively excluded.",J_Law-and-order,7
"The modern practice is to take wide powers (as in the N I 
Special Powers Acts and Regulations) to enable the executive to detain and take other steps to restore order.
",J_Legal_Procedure,6
"The question of indemnity only 
arises when even the wide powers so conferred are exceeded, eg by the use of excessive force or failure to comply with legal requirements as to arrest.",J_Legal_Procedure,6
"As long as soldiers and officials 
act within such powers they require no indemnity because the jurisdiction of the courts is effectively excluded.
",J_Legal_Procedure,6
"The modern practice is to take wide powers (as in the N I 
Special Powers Acts and Regulations) to enable the executive to detain and take other steps to restore order.
",J_Law-and-order,7
"suspects to be put temporarily out of the way during a particular :oyal Visit. It was not drafted as part of detention and internment procedure. 
Furthermore, the original purpose of the Regulation ws to enable Should it, 
therefore, be ignored and Regulation 11 used instead as authority to make arrests?",J_Emergency-Policy,1
"for the purpose of intorrogation
",J_Emergency-Policy,1
"eglation 10 enables the police to arrest and detain a person for up to 48 hours
",J_Emergency-Policy,1
