text,strlabel,labels
Intelligence is the key to successful operations against terrorists; and the key to intelligence is information regarding,J_Terrorism,0
"The general rules governing the custody of detainees and the processes of 
interrogation have been reviewed from time to time by the Government Departments and agencies concerned in the light of experience gained in the various internal security operations in which HMG have been involved since the last war.",J_Intl-Domestic_Precedent,1
Intelligence is the key to successful operations against terrorists; and the key to intelligence is information regarding,J_Intelligence,2
An advisory committee will be set up to which any one who is interned will have the right to make representations.,J_Denial,3
"We have that the measures taken 
not discriminate as between the different sections of the community, except as the facts of the situation make inevitable.",J_Denial,3
"I have however sent a message to Lynch, asking him to react with understanding, even if with regret, to maintain the pressures he has [] been exerting on the IRA south of the border, and emphasising that we hope that these measures can be strictly temporary, and will not [prejudicate] continuing progress in the task of making progress with building more harmonious inter-community relations in Northern Ireland.",J_Misc,4
The effectiveness of internment north of the border would be greater if the Irish Government south of the border were prepared to introduce internment at the same time; but all that we know of the Lynch Government [] suggest that there is no possibility of parallel action south of the border.,J_Intl-Domestic_Precedent,1
"The marches 
due in Derry on 12 August and in Belfast at the end of the month will not take place",J_Political-Strategic,5
"I have however sent a message to Lynch, asking him to react with understanding, even if with regret, to maintain the pressures he has [] been exerting on the IRA south of the border, and emphasising that we hope that these measures can be strictly temporary, and will not [prejudicate] continuing progress in the task of making progress with building more harmonious inter-community relations in Northern Ireland.",J_Development-Unity,6
"Adminstrative arrangements for running the centre including 
the accommodation, medical care and messing of all persons in the centre. There must be a full medical check by a doctor of every arrested person when he enters the centre.",J_Denial,3
"be released or detained on the order of the Civil Authority in a place of detention
",J_Legal_Procedure,7
": 
at the centre. b. 
All legal formalities relating to the custody of arrested persons
",J_Denial,3
"Act (Northern Ireland) 1922. 5. 
Operation off Regional Holding Centres and Maidstone Used as Places of Detention Under Regulation 11 of the Civil Authorities",J_Legal_Procedure,7
"Assisting the police as may be agreed locally with arrangements 
to implement the conditions of custody specified under para 2b above. These arrangements should be such as to reduce to the minimum the extent to which Service personnel are required to have actual physical custody of the persons arrested.",J_Misc,4
": 
at the centre. b. 
All legal formalities relating to the custody of arrested persons
",J_Legal_Procedure,7
"the conditions under which the arrested person are to be held in custody including arrangements for interrogation, exercise, visitors, messing etc.
",J_Legal_Procedure,7
"The RUC may establish at MAGILIIGAN and BAILYKINLER centres for 
holding and interrogatting persons arrested under the Special Powers Act.
",J_Legal_Procedure,7
"""I am arresting you under the powers conferred by the Civil Authorities (Special Powers) Act (Northern Ireland) 1922""",J_Legal_Procedure,7
