filename,date,truepositivecount,defaultthreshold_positivesrecovered,0.7recall_positivesrecovered,0.8recall_positivesrecovered,0.9recall_positivesrecovered
CJ_4_458/IMG_1815,1972-12,3,3,3,3,3
CJ_4_458/IMG_1856,1972-09,3,3,3,3,3
CJ_4_458/IMG_1864,1972-07,2,1,2,2,2
CJ_4_458/IMG_1865,1972-07,3,2,2,2,3
CJ_4_458/IMG_1867,1972-08,2,1,2,2,2
CJ_4_458/IMG_1924,1972-03,3,1,1,3,3
CJ_4_458/IMG_1926,1972-03,5,0,0,0,1
DEFE_13_919/IMG_1977,1972-08,3,3,3,3,3
DEFE_24_1214/IMG_2181,1971-08,4,1,2,2,2
DEFE_24_1214/IMG_2183,1971-08,7,4,5,5,6
DEFE_24_1214/IMG_2214,1971-07,3,1,2,2,2
DEFE_24_1214/IMG_2215,1971-07,2,1,1,2,2
DEFE_24_1214/IMG_2245,1971-05,2,1,1,1,2
DEFE_24_1214/IMG_2270,1971-05,1,0,1,1,1
DEFE_24_1214/IMG_2274,1971-05,1,0,0,1,1
PREM_15_1000/IMG_6565,1971-11,4,1,1,2,3
PREM_15_1000/IMG_6574,1971-12,5,5,5,5,5
PREM_15_1001/IMG_6633,1972-02,4,4,4,4,4
PREM_15_1001/IMG_6634,1972-02,6,3,4,5,6
PREM_15_1001/IMG_6699,1972-01,1,1,1,1,1
PREM_15_1001/IMG_6710,1972-01,5,4,4,4,5
PREM_15_1002/IMG_6751,1972-02,2,1,2,2,2
PREM_15_1002/IMG_6755,1972-02,4,4,4,4,4
PREM_15_1003/IMG_6915,1972-03,4,3,3,3,3
PREM_15_1004/IMG_7056,1972-03,1,1,1,1,1
PREM_15_1004/IMG_7109,1972-01,1,0,0,0,1
PREM_15_1005/IMG_7249,1972-03,5,4,5,5,5
PREM_15_1007/IMG_7485,1972-04,5,5,5,5,5
PREM_15_1009/IMG_7696,1972-06,5,4,5,5,5
PREM_15_1010/IMG_4,1972-07,1,1,1,1,1
PREM_15_1011/IMG_7783,1972-07,3,2,2,3,3
PREM_15_1012/IMG_7899,1972-08,6,5,5,5,6
PREM_15_1012/IMG_7900,1972-08,1,0,0,1,1
PREM_15_1012/IMG_7924,1972-08,2,2,2,2,2
PREM_15_1013/IMG_8052,1972-08,7,7,7,7,7
PREM_15_1013/IMG_8056,1972-09,6,6,6,6,6
PREM_15_1013/IMG_8063,1972-09,7,3,3,4,7
PREM_15_1013/IMG_8108,1972-09,3,2,3,3,3
PREM_15_1692/IMG_9325,1973-04,1,1,1,1,1
PREM_15_475/IMG_4847,1971-02,3,3,3,3,3
PREM_15_475/IMG_4848,1971-02,3,1,1,1,2
PREM_15_475/IMG_4928,1972-03,3,1,3,3,3
PREM_15_475/IMG_4943,1972-01,1,0,0,1,1
PREM_15_475/IMG_4975,1972-02,3,3,3,3,3
PREM_15_475/IMG_4980,1972-02,3,0,1,2,2
PREM_15_475/IMG_4988,1972-02,5,3,3,4,5
PREM_15_478/IMG_145,1971-08,4,0,0,2,3
PREM_15_478/IMG_165,1971-08,7,3,5,5,5
PREM_15_478/IMG_166,1971-08,14,5,6,7,10
PREM_15_478/IMG_167,1971-08,1,0,0,1,1
PREM_15_478/IMG_211,1971-08,9,5,6,7,9
PREM_15_479/IMG_5852,1971-08,3,0,0,0,1
PREM_15_480/IMG_5589,1971-09,19,11,12,14,15
PREM_15_481/IMG_5696,1971-09,2,2,2,2,2
PREM_15_481/IMG_5697,1971-09,3,2,2,3,3
PREM_15_482/IMG_6174,1971-10,2,2,2,2,2
PREM_15_482/IMG_6175,1971-10,11,9,10,10,11
PREM_15_482/IMG_6182,1971-10,1,1,1,1,1
PREM_15_483/IMG_6017,1971-11,2,1,1,2,2
PREM_15_483/IMG_6045,1971-10,6,2,3,5,6
PREM_15_484/IMG_6261,1971-12,3,0,2,3,3
PREM_15_484/IMG_6262,1971-12,4,3,3,3,4
PREM_15_485/IMG_5162,1971-11,7,6,6,7,7
