file_name,start_year,start_month,end_year,end_month
PREM_15_100,1970,6,1970,7
PREM_15_101,1970,7,1970,8
PREM_15_474,1970,8,1971,1
PREM_15_475,1971,2,1971,3
PREM_15_476,1971,3,1971,4
PREM_15_477,1971,4,1971,7
PREM_15_478,1971,7,1971,8
PREM_15_479,1971,8,1971,9
PREM_15_480,1971,9,1971,9
PREM_15_481,1971,9,1971,10
PREM_15_482,1971,10,1971,10
PREM_15_485,1971,8,1971,11
PREM_15_483,1971,10,1971,11
DEFE_24_1214,1971,1,1971,12
PREM_15_486,1971,3,1971,12
PREM_15_484,1971,11,1971,12
DEFE_13_917,1971,1,1971,12
PREM_15_1000,1971,12,1972,1
PREM_15_1001,1972,1,1972,2
PREM_15_1002,1972,2,1972,2
PREM_15_1035,1971,11,1972,3
PREM_15_1003,1972,2,1972,3
PREM_15_1004,1972,3,1972,3
PREM_15_1005,1972,3,1972,3
PREM_15_1006,1972,3,1972,4
PREM_15_1020,1972,4,1972,4
PREM_15_1007,1972,4,1972,5
PREM_15_1008,1972,5,1972,6
PREM_15_1009,1972,6,1972,6
PREM_15_1010,1972,7,1972,7
PREM_15_1011,1972,7,1972,7
CJ_4_251,1972,6,1972,8
PREM_15_1012,1972,8,1972,8
PREM_15_1013,1972,8,1972,9
PREM_15_1014,1972,9,1972,10
PREM_15_1015,1972,10,1972,11
DEFE_13_1358,1972,1,1972,12
PREM_15_1016,1972,11,1972,12
DEFE_13_919,1972,1,1972,12
CJ_4_458,1972,5,1973,1
PREM_15_1689,1973,1,1973,2
PREM_15_1690,1973,2,1973,3
PREM_15_1691,1973,3,1973,3
PREM_15_1692,1973,3,1973,4
PREM_15_1693,1973,5,1973,7
DEFE_24_876,1973,1,1973,12
DEFE_24_877,1973,1,1973,12
DEFE_24_606,1971,1,1973,12
