,image_id,file_id,img_file_orig,justification,occurances,transcribed_text,handwriting,transcribed_orig_if_handwritting,notes,
4697,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,1,1. Regulation 12 makes it an offence to escape from internment.,,,,
4698,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,2,3. The Prisons Act could presumably also be used against people who escape from internment.,,,,
4699,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,3,*But Regulation 11 makes it an offence to help anyone to escape from detention.,,,,
147,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Denial,1,"It says that arrests are to be made ""in respect of conduct and not simply membership of an illegal organization.""",,,,
3549,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Law-and-order,1,"Paragraph (b) of the Army letter envisages that persons may be arrested under Regulation 10 ""for purposes of questioning prior to preferment of criminal charges"". I am uncertain whether an arrest for such purposes would properly be within the powers confferred by Regulation 10. When we redrafted the main policy document, our main object was to preserve the powers of arrest under Regulation 11(1); these powers contemplate that persons so arrested could, in certain circumstances, be brought before the courts and the powers of arrest relate to any person whom the arresting officer ""suspects of acting or of having acted or being about to act in a manner prejudicial to the preservation of the peace or the maintenance of order"" and so on.",,,,
4711,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Legal_Procedure,1,"Paragraph (b) of the Army letter envisages that persons may be arrested under Regulation 10 ""for purposes of questioning prior to preferment of criminal charges"". I am uncertain whether an arrest for such purposes would properly be within the powers confferred by Regulation 10. When we redrafted the main policy document, our main object was to preserve the powers of arrest under Regulation 11(1); these powers contemplate that persons so arrested could, in certain circumstances, be brought before the courts and the powers of arrest relate to any person whom the arresting officer ""suspects of acting or of having acted or being about to act in a manner prejudicial to the preservation of the peace or the maintenance of order"" and so on.",,,,
1995,IMG_1786,CJ_4_251,IMG_1786_CJ_4_251,J_Emergency-Policy,1,It has always been a long-term aim to phase out internment but we must await the results of the cease-fire before consideration can be given to any further steps towards the restoration of normality.,,,,
6216,IMG_1786,CJ_4_251,IMG_1786_CJ_4_251,J_Misc,1,It has always been a long-term aim to phase out internment but we must await the results of the cease-fire before consideration can be given to any further steps towards the restoration of normality.,,,,
8883,IMG_1805,CJ_4_458,IMG_1805_CJ_4_458,J_Terrorism,1,"Mr. Woodfild: I think the [] is that both 7b and 7e now cover, as drafted, Protestant terrorists.",,,,
2079,IMG_1808,CJ_4_458,IMG_1808_CJ_4_458,J_Emergency-Policy,1,Wanted list will be supplemented from time to time.,,,,
