,justification,file_id,image_id,file_id_orig,ref_count,coded_refs
21,J_Denial,CJ_4_251,IMG_1770,CJ_4_251,1,"['', 'Reference 1 - 1.53% Coverage\nPage 1 : (130,497) - (482,537)']"
22,J_Denial,DEFE_13_917,IMG_2327,DEFE_13_917,1,"['', 'Reference 1 - 2.69% Coverage\nPage 1 : (168,688) - (626,769)']"
31,J_Denial,DEFE_24_1214,IMG_2187,DEFE_24_1214,1,"['', 'Reference 1 - 1.69% Coverage\nPage 1 : (129,291) - (470,338)']"
32,J_Denial,DEFE_24_1214,IMG_2191,DEFE_24_1214,1,"['', 'Reference 1 - 2.00% Coverage\nPage 1 : (19,273) - (582,306)']"
55,J_Denial,DEFE_24_1214,IMG_2295,DEFE_24_1214,2,"['', 'Reference 1 - 1.20% Coverage\nPage 1 : (104,207) - (490,236)\n', 'Reference 2 - 7.19% Coverage\nThis would be bound to attract public comment and it would be impossible to keep the true reason for the work from becoming known. (Note: recent military visits to Rathlin Island have already led to public speculation whether an internment camp was being contemplated there).']"
79,J_Denial,PREM_15_478,IMG_0187,PREM_15_478_187,2,"['', 'Reference 1 - 3.37% Coverage\nPage 1 : (62,253) - (421,311)\n', 'Reference 2 - 6.56% Coverage\ntaken should not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. \nWe hve however made clear our view that the measures']"
80,J_Denial,PREM_15_478,IMG_0193,PREM_15_478_193,2,"['', 'Reference 1 - 1.61% Coverage\nPage 1 : (96,186) - (462,215)\n', 'Reference 2 - 9.35% Coverage\nWe have that the measures taken \nnot discriminate as between the different sections of the community, except as the facts of the situation make inevitable.']"
81,J_Denial,PREM_15_478,IMG_0195,PREM_15_478_195,2,"['', 'Reference 1 - 0.88% Coverage\nPage 1 : (68,635) - (429,660)\n', 'Reference 2 - 1.92% Coverage\nWE HAVE HOWEVER MADE CLEAR OUR VIEW THAT THE MEASURES \nTAKEN SHOULD NOT DISCRIMINATE AS BETWEEN THE DIFFERENT SECTIONS OF THE COMMUNITY, EXCEPT AS THE FACTS OF THE SITUATION MAKE INEVITABLE.']"
83,J_Denial,PREM_15_478,IMG_0201,PREM_15_478_201,2,"['', 'Reference 1 - 6.87% Coverage\nPage 1 : (107,267) - (463,373)\n', 'Reference 2 - 27.62% Coverage\nWe have however that the measures not discriminate as between the different \nsections of the community, except as the facts of the situation make inevitable.']"
84,J_Denial,PREM_15_478,IMG_0202,PREM_15_478_202,1,"['', 'Reference 1 - 3.38% Coverage\nPage 1 : (87,277) - (431,337)']"
99,J_Denial,PREM_15_480,IMG_5589,PREM_15_480,5,"['', 'Reference 1 - 3.12% Coverage\nPage 1 : (95,500) - (576,568)\n', 'Reference 2 - 6.82% Coverage\nBut I have made no Internment Order without \nbeing satisfied on evidence placed before me that the person concerned was and still is an active member of the Official or Provisional Wing of the I.R.A. or has been closely implicated in the recent I.R.A. campaign.\n', 'Reference 3 - 5.21% Coverage\nPersons who may be members of the Civil Rights \nMovement or the People’s Democracy, or of other organisation, are being interned only if they are also members of the I.R.A. or actively involved in it.\n', 'Reference 4 - 6.41% Coverage\nMembers of various organisations who have been associated in one way or \nanother with the I.R.A. are not included where I am not satisfied that they are sufficiently deeply implicated and committed to violence to justify their being interned.\n', 'Reference 5 - 6.66% Coverage\nas before within the limits of the law. \nAnyone in Northern Ireland is as free to express his views The only reason anyone is interned \nis that he belongs to, and has actively supported, an organisation which advocated and uses violence for political ends.']"
108,J_Denial,PREM_15_481,IMG_5722,PREM_15_481,2,"['', 'Reference 1 - 50.00% Coverage\nPage 1 : (0,0) - (589,786)\n', 'Reference 2 - 50.00% Coverage\nCo1 t to ^^f r.at :v-efx’ T -de h.ve boon GIVn t-hfolowItl; infomation by th Nrthern Irclund \nCovemment in Connection with todny*a Fras Report appoaring in the N.ornin; star abaut coaditiona at LongKeh. \n’here -ro 40 on at preoent accoanodated in hut* originally l;nmned for \n34, but only parts of the crmp uve been coapleted on1 it in ereated that with the comploticn of furthor buildin, work In a fortnigbt’ timthia poition ill be rlt edvL \n14hto thorufore hao \nCo.ng i.s not done by electricity Hlat. by..calor gas. and the un of sorch no ffect on the power availzblo n theo \n.- houcobt \nthere are electric hotplatea in the meca hall* and those doveloped a fault yecaterday hilch waa put rIght today. \nacez are standard arg. issiue. 4. \n(zClotn’ nternoea were allowod to bring with them all the clothina they had in ’heir- \nposotwionz. Those uha wioh to obtain a chnm of clotha ctn do so by havbin other c’armenta brou ht in by relations or frienda; alternativelyit thia is not josible clothing is lsued to them. \n5. \n:t;Thy were allowed to tUe in with the books they olready po=nesed and \nfurther auppla aro .bein- provided at L4on3 Korh a aoo a posible. 75 ews. papera are beins provided free of chAre dr.ly.']"
109,J_Denial,PREM_15_481,IMG_5723,PREM_15_481,2,"['', 'Reference 1 - 50.00% Coverage\nPage 1 : (0,0) - (594,793)\n', 'Reference 2 - 50.00% Coverage\nAlr;;o tcIision and a radio oro provided in each hut. All ar IA Cool workin ,order. \n7.-Hetn iuts aro electrically heated and standarde ro conidered adqquate. \n8. earching Thes sercing o vitor ia inevtaein prent crmtaces. \nP LiifyHON 21 sente-te:r 19= \ncc. r ’Woodfield r Lindley \nbra irleson']"
146,J_Development-Unity,PREM_15_478,IMG_0186,PREM_15_478_186,1,"['', 'Reference 1 - 7.15% Coverage\nPage 1 : (60,91) - (416,215)']"
150,J_Development-Unity,PREM_15_478,IMG_0190,PREM_15_478_190,2,"['', 'Reference 1 - 5.09% Coverage\nPage 1 : (112,240) - (454,322)\n', 'Reference 2 - 27.91% Coverage\ndeclarations of their intention to continue and even escalate that campaign have made it impossible for him']"
