,raw_text,image_id,file_id,just_text_lump,just_text_lump2,just_text
0,"Files\\DNV_round1\\DEFE 13 1358\\IMG_9711_DEFE_13_1358 - § 1 reference coded [ 4.20% Coverage]
Reference 1 - 4.20% Coverage
Information about the tribunal should emphasise the steps that will be 
taken to separate the decision to detain a person from the executive.
",IMG_9711,DEFE_13_1358,"]

Information about the tribunal should emphasise the steps that will be 
taken to separate the decision to detain a person from the executive.", Information about the tribunal should emphasise the steps that will be taken to separate the decision to detain a person from the executive ,"Reference 1 - 4.20% Coverage
Information about the tribunal should emphasise the steps that will be 
taken to separate the decision to detain a person from the executive."
1,"Files\\DNV_round1\\PREM 15 1002\\IMG_6736_PREM_15_1002 - § 1 reference coded [ 3.46% Coverage]
Reference 1 - 3.46% Coverage
McAuley’s father, who is an internee at Long esh, was allowed out on parole for the funeral he had not reported back by 4 p.m.
",IMG_6736,PREM_15_1002,"]

McAuley’s father, who is an internee at Long esh, was allowed out on parole for the funeral he had not reported back by 4 p.m.", McAuley s father who is an internee at Long esh was allowed out on parole for the funeral he had not reported back by 4 p m ,"Reference 1 - 3.46% Coverage
McAuley’s father, who is an internee at Long esh, was allowed out on parole for the funeral he had not reported back by 4 p.m."
2,"Files\\DNV_round1\\PREM 15 1002\\IMG_6773_PREM_15_1002 - § 1 reference coded [ 5.23% Coverage]
Reference 1 - 5.23% Coverage
THE DISCUSSION IN JSC MOVED ON TO A SUGGESTION BY BLOOMFIELD THAT THERE SHOULD BE A PUBLIC STATEMENT WHICH WOULD BE DESIGNED TO CLEAR UP SOME MISCONCEPTIONS ABOUT INTERNMENT EG THE LEGAL BASIS FOR IT AND THE RIGHT OF INTERNEES TO SECURE LEGAL ADVICE IN PRESENTING THEMSELVES TO JUDGE BROWN’S COMMITTEE.
",IMG_6773,PREM_15_1002,"]

THE DISCUSSION IN JSC MOVED ON TO A SUGGESTION BY BLOOMFIELD THAT THERE SHOULD BE A PUBLIC STATEMENT WHICH WOULD BE DESIGNED TO CLEAR UP SOME MISCONCEPTIONS ABOUT INTERNMENT EG THE LEGAL BASIS FOR IT AND THE RIGHT OF INTERNEES TO SECURE LEGAL ADVICE IN PRESENTING THEMSELVES TO JUDGE BROWN’S COMMITTEE.", THE DISCUSSION IN JSC MOVED ON TO A SUGGESTION BY BLOOMFIELD THAT THERE SHOULD BE A PUBLIC STATEMENT WHICH WOULD BE DESIGNED TO CLEAR UP SOME MISCONCEPTIONS ABOUT INTERNMENT EG THE LEGAL BASIS FOR IT AND THE RIGHT OF INTERNEES TO SECURE LEGAL ADVICE IN PRESENTING THEMSELVES TO JUDGE BROWN S COMMITTEE ,"Reference 1 - 5.23% Coverage
THE DISCUSSION IN JSC MOVED ON TO A SUGGESTION BY BLOOMFIELD THAT THERE SHOULD BE A PUBLIC STATEMENT WHICH WOULD BE DESIGNED TO CLEAR UP SOME MISCONCEPTIONS ABOUT INTERNMENT EG THE LEGAL BASIS FOR IT AND THE RIGHT OF INTERNEES TO SECURE LEGAL ADVICE IN PRESENTING THEMSELVES TO JUDGE BROWN’S COMMITTEE."
3,"Files\\DNV_round1\\PREM 15 1006\\IMG_7291_PREM_15_1006 - § 1 reference coded [ 12.81% Coverage]
Reference 1 - 12.81% Coverage
I have also arranged that in future men who have a genuine reason for parole while my review is taking place 
- to attend a funeral, for example - 
allowed to stay out for twice the present period. From three days, to six days. 
I hope to be lenient in other domestic circumstances too. This week, for example, a man was permitted to leave internment to attend a double wedding and I was glad to authorise it.
",IMG_7291,PREM_15_1006,"]

I have also arranged that in future men who have a genuine reason for parole while my review is taking place 
- to attend a funeral, for example - 
allowed to stay out for twice the present period. From three days, to six days. 
I hope to be lenient in other domestic circumstances too. This week, for example, a man was permitted to leave internment to attend a double wedding and I was glad to authorise it.", I have also arranged that in future men who have a genuine reason for parole while my review is taking place to attend a funeral for example allowed to stay out for twice the present period From three days to six days I hope to be lenient in other domestic circumstances too This week for example a man was permitted to leave internment to attend a double wedding and I was glad to authorise it ,"Reference 1 - 12.81% Coverage
I have also arranged that in future men who have a genuine reason for parole while my review is taking place 
- to attend a funeral, for example - 
allowed to stay out for twice the present period. From three days, to six days. 
I hope to be lenient in other domestic circumstances too. This week, for example, a man was permitted to leave internment to attend a double wedding and I was glad to authorise it."
4,"Files\\DNV_round1\\PREM 15 1008\\IMG_7553_PREM_15_1008 - § 1 reference coded [ 5.96% Coverage]
Reference 1 - 5.96% Coverage
The fact that some of the prisoners involved in the Mountjoy Prison 
riot have been removed to the Curragh has led to charges that internment is being introduced by the back door, but this was denied by the Minister for Justice, Mr O’Malley.
",IMG_7553,PREM_15_1008,"]

The fact that some of the prisoners involved in the Mountjoy Prison 
riot have been removed to the Curragh has led to charges that internment is being introduced by the back door, but this was denied by the Minister for Justice, Mr O’Malley.", The fact that some of the prisoners involved in the Mountjoy Prison riot have been removed to the Curragh has led to charges that internment is being introduced by the back door but this was denied by the Minister for Justice Mr O Malley ,"Reference 1 - 5.96% Coverage
The fact that some of the prisoners involved in the Mountjoy Prison 
riot have been removed to the Curragh has led to charges that internment is being introduced by the back door, but this was denied by the Minister for Justice, Mr O’Malley."
5,"Files\\EKG_round1\\PREM 15 1009\\IMG_7697_PREM_15_1009 - § 1 reference coded [ 3.01% Coverage]
Reference 1 - 3.01% Coverage
that there should not at present be any question of a statutory indemnity for members of the security forces.
",IMG_7697,PREM_15_1009,"]

that there should not at present be any question of a statutory indemnity for members of the security forces.", that there should not at present be any question of a statutory indemnity for members of the security forces ,"Reference 1 - 3.01% Coverage
that there should not at present be any question of a statutory indemnity for members of the security forces."
6,"Files\\EKG_round1\\PREM 15 1012\\IMG_7858_PREM_15_1012 - § 1 reference coded [ 6.97% Coverage]
Reference 1 - 6.97% Coverage
As the International Red Cross have already commented adversely on the psychological effects of boredom, etc, on internees, it is proposed to permit the use of a limited range of hand tools for hobbies but to do so on the basis of a daily issue which must be handed back each evening.
",IMG_7858,PREM_15_1012,"]

As the International Red Cross have already commented adversely on the psychological effects of boredom, etc, on internees, it is proposed to permit the use of a limited range of hand tools for hobbies but to do so on the basis of a daily issue which must be handed back each evening.", As the International Red Cross have already commented adversely on the psychological effects of boredom etc on internees it is proposed to permit the use of a limited range of hand tools for hobbies but to do so on the basis of a daily issue which must be handed back each evening ,"Reference 1 - 6.97% Coverage
As the International Red Cross have already commented adversely on the psychological effects of boredom, etc, on internees, it is proposed to permit the use of a limited range of hand tools for hobbies but to do so on the basis of a daily issue which must be handed back each evening."
7,"Files\\EKG_round1\\PREM 15 1013\\IMG_8053_PREM_15_1013 - § 3 references coded [ 21.10% Coverage]
Reference 1 - 10.60% Coverage
In addition, they intend at an early date to introduce provisions under the Special Powers Act to set up a tribunal to deal with persons suspected of participation in terrorist activities by means of a procedure which will provide maximum safeguards for the protection of the individual and will eliminate the objectionable features of internment, notably judgment by executive decision alone, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.
Reference 2 - 5.07% Coverage
But the Government wish to make clear at once that these measures will not in any way be directed against the holding of opinions, but against the use, or encouragement, of violence and terror to force those opinions on law abiding citizens.
Reference 3 - 5.43% Coverage
These interim provisions will be employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence.
",IMG_8053,PREM_15_1013,"]

In addition, they intend at an early date to introduce provisions under the Special Powers Act to set up a tribunal to deal with persons suspected of participation in terrorist activities by means of a procedure which will provide maximum safeguards for the protection of the individual and will eliminate the objectionable features of internment, notably judgment by executive decision alone, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.

But the Government wish to make clear at once that these measures will not in any way be directed against the holding of opinions, but against the use, or encouragement, of violence and terror to force those opinions on law abiding citizens.

These interim provisions will be employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence.", In addition they intend at an early date to introduce provisions under the Special Powers Act to set up a tribunal to deal with persons suspected of participation in terrorist activities by means of a procedure which will provide maximum safeguards for the protection of the individual and will eliminate the objectionable features of internment notably judgment by executive decision alone but which will be matched to the special conditions which unfortunately obtain in Northern Ireland But the Government wish to make clear at once that these measures will not in any way be directed against the holding of opinions but against the use or encouragement of violence and terror to force those opinions on law abiding citizens These interim provisions will be employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence ,"Reference 1 - 10.60% Coverage
In addition, they intend at an early date to introduce provisions under the Special Powers Act to set up a tribunal to deal with persons suspected of participation in terrorist activities by means of a procedure which will provide maximum safeguards for the protection of the individual and will eliminate the objectionable features of internment, notably judgment by executive decision alone, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.
Reference 2 - 5.07% Coverage
But the Government wish to make clear at once that these measures will not in any way be directed against the holding of opinions, but against the use, or encouragement, of violence and terror to force those opinions on law abiding citizens.
Reference 3 - 5.43% Coverage
These interim provisions will be employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence."
8,"Files\\EKG_round1\\PREM 15 1013\\IMG_8057_PREM_15_1013 - § 2 references coded [ 17.52% Coverage]
Reference 1 - 12.04% Coverage
Pending the report of the commission and of 
the subsequent legislation on it, the Government therefore proposes at an early date to introduce interim legislation under the Special Powers Act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.
Reference 2 - 5.48% Coverage
But the Government 
wishes to make clear at once that these measures will not in any way be directed against the holding of opinions, but only against the use of violence and terror to force those opinions on law
",IMG_8057,PREM_15_1013,"]

Pending the report of the commission and of 
the subsequent legislation on it, the Government therefore proposes at an early date to introduce interim legislation under the Special Powers Act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.

But the Government 
wishes to make clear at once that these measures will not in any way be directed against the holding of opinions, but only against the use of violence and terror to force those opinions on law", Pending the report of the commission and of the subsequent legislation on it the Government therefore proposes at an early date to introduce interim legislation under the Special Powers Act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice but which will be matched to the special conditions which unfortunately obtain in Northern Ireland But the Government wishes to make clear at once that these measures will not in any way be directed against the holding of opinions but only against the use of violence and terror to force those opinions on law,"Reference 1 - 12.04% Coverage
Pending the report of the commission and of 
the subsequent legislation on it, the Government therefore proposes at an early date to introduce interim legislation under the Special Powers Act to set up a special tribunal to deal with persons accused of terrorist activities by means of a procedure which will preserve the essentials of natural justice, but which will be matched to the special conditions which unfortunately obtain in Northern Ireland.
Reference 2 - 5.48% Coverage
But the Government 
wishes to make clear at once that these measures will not in any way be directed against the holding of opinions, but only against the use of violence and terror to force those opinions on law"
9,"Files\\EKG_round1\\PREM 15 1013\\IMG_8058_PREM_15_1013 - § 2 references coded [ 50.00% Coverage]
Reference 1 - 3.35% Coverage
abiding citizens.
Reference 2 - 46.65% Coverage
Moreover, these Interim provisions will be 
employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence.
",IMG_8058,PREM_15_1013,"]

abiding citizens.

Moreover, these Interim provisions will be 
employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence.", abiding citizens Moreover these Interim provisions will be employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence ,"Reference 1 - 3.35% Coverage
abiding citizens.
Reference 2 - 46.65% Coverage
Moreover, these Interim provisions will be 
employed only where the ordinary processes of the criminal law are inadequate and will be enforced with complete impartiality against whatever persons or organisations are found to be engaged in terrorism and violence."
